區,民主進步黨,親民黨,自由台灣黨,和平鴿聯盟黨,軍公教聯盟黨,民國黨,信心希望聯盟,中華統一促進黨,中國國民黨,台灣團結聯盟,時代力量,大愛憲改聯盟,綠黨社會民主黨聯盟,台灣獨立黨,無黨團結聯盟,新黨,健保免費連線,樹黨,網址
臺北市,571916,81981,3380,2039,8196,22033,34151,8048,415255,29859,89291,1310,48852,2409,4137,117458,3504,13730,http://www.cec.gov.tw/zh_TW/T4/n100000000000000.html
臺北市北投區,60941,7289,339,198,821,3224,2957,651,37977,2926,8724,118,4228,250,481,8327,376,1118,http://www.cec.gov.tw/zh_TW/T4/n100000100000000.html
臺北市士林區,72476,8746,378,211,849,2445,3506,661,40033,3814,9842,132,4860,269,439,10081,390,1149,http://www.cec.gov.tw/zh_TW/T4/n100000200000000.html
臺北市大同區,36400,3788,180,96,299,889,1093,239,16520,1929,4843,59,1893,132,240,2922,221,517,http://www.cec.gov.tw/zh_TW/T4/n100000300000000.html
臺北市中山區,52940,7369,287,161,547,1457,2537,618,33862,2839,7734,107,4213,196,333,8550,306,1053,http://www.cec.gov.tw/zh_TW/T4/n100000400000000.html
臺北市松山區,41018,6120,223,111,606,1463,2682,739,33344,2176,6536,99,4156,179,284,11196,215,970,http://www.cec.gov.tw/zh_TW/T4/n100000500000000.html
臺北市內湖區,56897,9336,391,374,852,2315,3868,706,43925,2619,10470,132,5275,285,400,12551,388,1476,http://www.cec.gov.tw/zh_TW/T4/n100000600000000.html
臺北市南港區,25900,4193,203,121,368,1064,1323,330,19095,1286,4373,79,1980,123,202,4379,191,605,http://www.cec.gov.tw/zh_TW/T4/n100000700000000.html
臺北市萬華區,47866,6160,234,117,495,1516,1695,590,30358,2423,6471,134,2624,197,376,6729,336,1082,http://www.cec.gov.tw/zh_TW/T4/n100000800000000.html
臺北市中正區,30558,4796,197,75,617,1154,2296,507,24938,1847,5197,67,3119,116,224,7683,167,1117,http://www.cec.gov.tw/zh_TW/T4/n100000900000000.html
臺北市大安區,55814,8473,313,138,990,2527,4720,1095,49426,3317,9013,142,6367,216,412,18112,239,1689,http://www.cec.gov.tw/zh_TW/T4/n100001000000000.html
臺北市信義區,45600,7042,277,178,671,1954,2748,909,37965,2274,7374,108,4208,228,385,11567,326,1184,http://www.cec.gov.tw/zh_TW/T4/n100001100000000.html
臺北市文山區,45506,8669,358,259,1081,2025,4726,1003,47812,2409,8714,133,5929,218,361,15361,349,1770,http://www.cec.gov.tw/zh_TW/T4/n100001200000000.html
新北市,916886,147996,7127,4844,11610,27814,36352,9333,577605,41648,131052,2566,52957,4102,17911,106125,8027,14408,http://www.cec.gov.tw/zh_TW/T4/n200000000000000.html
新北市石門區,2395,252,26,51,34,125,45,15,1782,188,244,10,96,24,651,138,23,28,http://www.cec.gov.tw/zh_TW/T4/n200000100000000.html
新北市三芝區,4456,611,44,61,75,319,124,42,3397,455,538,13,219,47,745,385,66,86,http://www.cec.gov.tw/zh_TW/T4/n200000200000000.html
新北市淡水區,32850,5243,270,245,485,1320,1837,396,22876,1923,5292,100,2474,166,3390,4858,263,686,http://www.cec.gov.tw/zh_TW/T4/n200000300000000.html
新北市八里區,8552,1410,53,117,67,243,272,64,5063,348,1026,25,396,51,900,704,95,126,http://www.cec.gov.tw/zh_TW/T4/n200000400000000.html
新北市林口區,20050,4169,105,138,260,597,1022,231,13397,809,3084,39,1263,83,268,2827,149,328,http://www.cec.gov.tw/zh_TW/T4/n200000500000000.html
新北市泰山區,18998,3782,107,108,186,456,535,115,10151,753,2562,36,837,78,164,1389,138,256,http://www.cec.gov.tw/zh_TW/T4/n200000600000000.html
新北市五股區,20912,3128,116,118,151,452,709,169,10623,941,2620,56,791,93,303,1409,215,259,http://www.cec.gov.tw/zh_TW/T4/n200000700000000.html
新北市蘆洲區,52950,6809,315,199,417,1081,1317,277,22500,2351,6863,115,2151,194,1057,2780,344,671,http://www.cec.gov.tw/zh_TW/T4/n200000800000000.html
新北市三重區,108532,14696,879,660,963,2514,2731,652,50284,4926,14621,282,4595,413,997,6506,764,1283,http://www.cec.gov.tw/zh_TW/T4/n200000900000000.html
新北市新莊區,104796,16209,642,495,1057,2378,2997,613,51273,4450,14983,321,5393,431,807,6734,832,1106,http://www.cec.gov.tw/zh_TW/T4/n200001000000000.html
新北市樹林區,45240,6741,376,193,506,1206,1438,290,24909,1937,6301,119,2144,196,392,3203,500,634,http://www.cec.gov.tw/zh_TW/T4/n200001100000000.html
新北市鶯歌區,21431,3263,223,113,226,664,514,247,11967,959,2606,60,1010,124,228,1096,242,241,http://www.cec.gov.tw/zh_TW/T4/n200001200000000.html
新北市板橋區,139307,19218,782,572,1829,3285,4955,1261,79924,6329,19347,333,7592,620,1991,12609,1339,2336,http://www.cec.gov.tw/zh_TW/T4/n200001300000000.html
新北市中和區,85380,16407,681,342,1375,3650,4249,1300,72705,3903,13666,306,6162,464,2199,16575,759,1776,http://www.cec.gov.tw/zh_TW/T4/n200001400000000.html
新北市永和區,39143,8315,272,178,891,2409,2951,951,40510,2030,6929,112,4049,161,443,11877,378,1058,http://www.cec.gov.tw/zh_TW/T4/n200001500000000.html
新北市土城區,56897,8901,443,246,730,1561,1874,477,33300,2281,8190,155,2930,237,750,4829,546,849,http://www.cec.gov.tw/zh_TW/T4/n200001600000000.html
新北市三峽區,24816,4474,212,134,334,692,917,247,14992,1029,3263,87,1297,86,232,2218,235,322,http://www.cec.gov.tw/zh_TW/T4/n200001700000000.html
新北市新店區,53008,11432,511,246,1035,2251,4982,1211,55050,2224,8560,157,5541,223,502,16869,423,1225,http://www.cec.gov.tw/zh_TW/T4/n200001800000000.html
新北市深坑區,5335,854,70,30,58,170,271,60,3716,204,707,18,352,28,50,648,43,85,http://www.cec.gov.tw/zh_TW/T4/n200001900000000.html
新北市石碇區,2337,245,39,42,16,48,29,17,1004,101,171,3,68,9,23,104,27,24,http://www.cec.gov.tw/zh_TW/T4/n200002000000000.html
新北市坪林區,2035,195,27,7,21,47,20,4,811,86,139,7,57,12,59,63,8,19,http://www.cec.gov.tw/zh_TW/T4/n200002100000000.html
新北市烏來區,995,293,22,5,31,68,173,11,920,47,103,4,56,9,159,89,18,12,http://www.cec.gov.tw/zh_TW/T4/n200002200000000.html
新北市金山區,4920,643,101,46,52,166,104,30,2914,413,648,10,188,23,421,279,41,49,http://www.cec.gov.tw/zh_TW/T4/n200002300000000.html
新北市萬里區,4749,791,70,37,66,154,106,56,3297,319,464,18,148,33,210,294,39,47,http://www.cec.gov.tw/zh_TW/T4/n200002400000000.html
新北市汐止區,41472,7498,403,329,498,1430,1921,441,30152,1722,6562,110,2583,189,387,6700,384,710,http://www.cec.gov.tw/zh_TW/T4/n200002500000000.html
新北市平溪區,1267,192,32,11,18,32,18,11,762,80,83,7,35,8,31,47,5,10,http://www.cec.gov.tw/zh_TW/T4/n200002600000000.html
新北市瑞芳區,8273,1602,174,89,161,323,186,103,6367,515,1046,42,347,65,409,644,120,120,http://www.cec.gov.tw/zh_TW/T4/n200002700000000.html
新北市雙溪區,2077,297,57,7,34,80,18,17,1483,150,175,10,82,14,87,121,15,31,http://www.cec.gov.tw/zh_TW/T4/n200002800000000.html
新北市貢寮區,3713,326,75,25,34,93,37,25,1476,175,259,11,101,21,56,130,16,31,http://www.cec.gov.tw/zh_TW/T4/n200002900000000.html
桃園市,432155,79868,3252,2461,7392,21217,18742,5838,322892,17570,58369,1298,34639,2127,4405,41191,5991,6286,http://www.cec.gov.tw/zh_TW/T4/n300000000000000.html
桃園市蘆竹區,34921,5262,265,191,393,996,1471,340,19541,1376,4332,101,2188,152,431,2800,455,462,http://www.cec.gov.tw/zh_TW/T4/n300000100000000.html
桃園市龜山區,31381,5613,226,138,359,1056,1098,367,21202,1401,4410,94,2003,152,315,3059,504,446,http://www.cec.gov.tw/zh_TW/T4/n300000200000000.html
桃園市桃園區,88164,16218,532,393,1577,2997,4028,977,60520,4135,13196,242,7043,343,934,9557,1027,1379,http://www.cec.gov.tw/zh_TW/T4/n300000300000000.html
桃園市大園區,20951,2960,200,98,258,666,554,206,11164,869,2427,55,1031,105,204,855,238,287,http://www.cec.gov.tw/zh_TW/T4/n300000400000000.html
桃園市觀音區,17099,2197,138,100,204,579,312,129,7692,619,1625,48,797,92,135,543,232,241,http://www.cec.gov.tw/zh_TW/T4/n300000500000000.html
桃園市新屋區,13329,1701,101,103,192,502,193,93,7040,391,1135,38,558,72,112,530,159,134,http://www.cec.gov.tw/zh_TW/T4/n300000600000000.html
桃園市楊梅區,29906,6609,307,195,627,1856,1573,419,26007,1002,4519,105,2120,174,260,2689,540,513,http://www.cec.gov.tw/zh_TW/T4/n300000700000000.html
桃園市中壢區,72191,15137,458,371,1447,4487,3923,1413,66455,2690,10327,210,9371,347,750,8947,985,1072,http://www.cec.gov.tw/zh_TW/T4/n300000800000000.html
桃園市平鎮區,41798,8472,333,262,773,3408,2145,597,35823,1452,6122,128,4263,218,403,3860,638,618,http://www.cec.gov.tw/zh_TW/T4/n300000900000000.html
桃園市龍潭區,21262,4540,213,178,557,2148,1285,388,19826,872,2871,69,1630,136,187,2912,298,354,http://www.cec.gov.tw/zh_TW/T4/n300001000000000.html
桃園市八德區,38052,7483,325,284,671,1582,1179,643,31813,1575,5006,150,2474,219,448,3683,645,522,http://www.cec.gov.tw/zh_TW/T4/n300001100000000.html
桃園市大溪區,21946,3196,140,132,308,814,756,233,13678,1122,2306,53,1112,106,192,1651,237,241,http://www.cec.gov.tw/zh_TW/T4/n300001200000000.html
桃園市復興區,1155,480,14,16,26,126,225,33,2131,66,93,5,49,11,34,105,33,17,http://www.cec.gov.tw/zh_TW/T4/n300001300000000.html
臺中市,600055,107852,6121,3187,9854,21685,29648,4950,389339,39314,104865,1934,33466,3728,5553,51311,8037,9794,http://www.cec.gov.tw/zh_TW/T4/n400000000000000.html
臺中市大甲區,17456,2214,166,125,279,618,431,226,11043,1342,2699,71,818,132,163,865,264,210,http://www.cec.gov.tw/zh_TW/T4/n400000100000000.html
臺中市大安區,4660,506,40,38,73,146,93,41,3049,429,645,16,146,37,58,173,82,46,http://www.cec.gov.tw/zh_TW/T4/n400000200000000.html
臺中市外埔區,6432,984,78,89,119,309,156,69,5387,698,1133,33,284,66,93,399,154,99,http://www.cec.gov.tw/zh_TW/T4/n400000300000000.html
臺中市清水區,20868,3078,163,128,387,625,419,121,12145,1258,2854,74,818,150,209,1035,287,287,http://www.cec.gov.tw/zh_TW/T4/n400000400000000.html
臺中市梧棲區,12678,1955,102,106,181,418,379,55,7655,750,2049,51,537,96,160,702,208,197,http://www.cec.gov.tw/zh_TW/T4/n400000500000000.html
臺中市沙鹿區,19116,3668,204,133,369,768,702,147,12958,1198,3362,83,1033,173,276,1213,362,328,http://www.cec.gov.tw/zh_TW/T4/n400000600000000.html
臺中市龍井區,16851,2979,180,137,284,630,786,112,11021,1030,2897,87,850,144,230,1035,384,268,http://www.cec.gov.tw/zh_TW/T4/n400000700000000.html
臺中市大肚區,12923,2352,147,78,185,509,535,109,9144,840,2057,60,538,112,143,820,243,192,http://www.cec.gov.tw/zh_TW/T4/n400000800000000.html
臺中市烏日區,17284,3199,160,137,241,674,669,111,10377,906,2694,66,811,104,252,1029,258,231,http://www.cec.gov.tw/zh_TW/T4/n400000900000000.html
臺中市霧峰區,15649,3370,163,103,220,629,446,112,9477,983,2280,65,768,129,175,1074,248,193,http://www.cec.gov.tw/zh_TW/T4/n400001000000000.html
臺中市大里區,46988,9044,468,266,717,1483,1770,277,25292,2698,7944,147,2455,282,401,3170,715,721,http://www.cec.gov.tw/zh_TW/T4/n400001100000000.html
臺中市后里區,10743,1763,171,87,141,404,295,112,8584,3573,2251,42,559,83,100,674,177,184,http://www.cec.gov.tw/zh_TW/T4/n400001200000000.html
臺中市神岡區,17646,2249,214,73,159,559,377,78,9023,1334,2721,64,602,100,141,685,228,203,http://www.cec.gov.tw/zh_TW/T4/n400001300000000.html
臺中市大雅區,20128,3615,237,111,279,815,739,167,14484,1220,3884,60,935,133,225,1388,345,329,http://www.cec.gov.tw/zh_TW/T4/n400001400000000.html
臺中市潭子區,24968,4405,275,121,326,930,990,156,15504,1391,4500,82,1077,140,193,1862,358,378,http://www.cec.gov.tw/zh_TW/T4/n400001500000000.html
臺中市西屯區,42401,8762,407,160,750,1754,3621,456,31095,2304,8650,121,3258,198,368,5552,390,866,http://www.cec.gov.tw/zh_TW/T4/n400001600000000.html
臺中市南屯區,32752,6494,300,151,624,1358,2654,247,21881,1689,6514,86,2485,151,247,3604,239,595,http://www.cec.gov.tw/zh_TW/T4/n400001700000000.html
臺中市北屯區,53066,10973,478,285,1050,1851,3931,586,38335,2762,10515,134,3527,274,361,6942,514,922,http://www.cec.gov.tw/zh_TW/T4/n400001800000000.html
臺中市北區,29981,5983,281,134,569,1029,2418,404,21332,1807,5675,79,2047,152,229,4298,368,715,http://www.cec.gov.tw/zh_TW/T4/n400001900000000.html
臺中市西區,24546,4239,239,75,482,854,1744,219,15824,1512,4589,57,1948,130,162,2862,200,544,http://www.cec.gov.tw/zh_TW/T4/n400002000000000.html
臺中市中區,4050,667,33,10,53,120,182,42,2486,220,614,7,195,28,21,342,33,48,http://www.cec.gov.tw/zh_TW/T4/n400002100000000.html
臺中市東區,18514,2932,154,65,256,589,761,129,10363,993,3047,48,935,92,197,1658,185,271,http://www.cec.gov.tw/zh_TW/T4/n400002200000000.html
臺中市南區,25870,4727,238,83,591,920,1708,210,16347,1533,5036,63,1903,139,207,2696,273,494,http://www.cec.gov.tw/zh_TW/T4/n400002300000000.html
臺中市太平區,41206,7412,420,186,578,1459,1554,292,25117,2074,6473,146,1855,262,392,2957,654,596,http://www.cec.gov.tw/zh_TW/T4/n400002400000000.html
臺中市豐原區,41307,6012,389,156,571,1315,1352,216,23529,2907,6804,118,2155,243,274,2672,522,579,http://www.cec.gov.tw/zh_TW/T4/n400002500000000.html
臺中市石岡區,3623,585,72,27,51,156,101,37,2668,229,492,14,152,24,32,220,49,43,http://www.cec.gov.tw/zh_TW/T4/n400002600000000.html
臺中市新社區,5955,953,102,43,92,203,199,51,4012,571,756,17,208,44,53,384,69,72,http://www.cec.gov.tw/zh_TW/T4/n400002700000000.html
臺中市東勢區,10981,2017,205,67,196,456,525,128,9069,949,1566,38,512,96,115,854,201,162,http://www.cec.gov.tw/zh_TW/T4/n400002800000000.html
臺中市和平區,1413,715,35,13,31,104,111,40,2138,114,164,5,55,14,76,146,27,21,http://www.cec.gov.tw/zh_TW/T4/n400002900000000.html
臺南市,545694,52906,5640,2237,7091,9400,12353,3972,193140,27960,63172,1033,24709,2264,3705,24338,3294,4826,http://www.cec.gov.tw/zh_TW/T4/n500000000000000.html
臺南市後壁區,8100,506,70,61,110,132,101,63,2200,496,616,21,213,34,87,209,61,55,http://www.cec.gov.tw/zh_TW/T4/n500000100000000.html
臺南市白河區,8880,613,75,122,220,140,89,95,2543,561,670,21,213,42,139,259,51,72,http://www.cec.gov.tw/zh_TW/T4/n500000200000000.html
臺南市北門區,3443,255,40,29,25,47,24,16,968,199,227,8,90,15,91,108,20,23,http://www.cec.gov.tw/zh_TW/T4/n500000300000000.html
臺南市學甲區,8947,541,77,50,54,114,55,58,2148,448,705,8,238,27,81,216,49,60,http://www.cec.gov.tw/zh_TW/T4/n500000400000000.html
臺南市鹽水區,7924,624,83,70,83,120,74,59,2263,573,694,22,231,46,81,222,44,53,http://www.cec.gov.tw/zh_TW/T4/n500000500000000.html
臺南市新營區,18955,2268,206,132,482,374,392,264,8461,1191,2542,32,1108,86,283,1248,133,209,http://www.cec.gov.tw/zh_TW/T4/n500000600000000.html
臺南市柳營區,6732,567,55,75,93,103,82,129,1940,367,670,15,226,32,81,220,53,73,http://www.cec.gov.tw/zh_TW/T4/n500000700000000.html
臺南市東山區,5947,602,73,63,95,134,44,36,1880,346,402,22,150,32,158,155,35,41,http://www.cec.gov.tw/zh_TW/T4/n500000800000000.html
臺南市將軍區,7057,355,87,65,34,73,62,25,1456,374,450,10,119,33,65,155,40,35,http://www.cec.gov.tw/zh_TW/T4/n500000900000000.html
臺南市下營區,7603,711,94,82,90,138,78,65,2292,426,658,14,197,25,58,175,37,57,http://www.cec.gov.tw/zh_TW/T4/n500001000000000.html
臺南市六甲區,6959,572,64,50,81,143,85,87,1920,429,637,21,221,35,43,177,62,49,http://www.cec.gov.tw/zh_TW/T4/n500001100000000.html
臺南市官田區,7566,579,92,50,89,118,70,38,1805,392,600,9,215,29,31,143,45,33,http://www.cec.gov.tw/zh_TW/T4/n500001200000000.html
臺南市七股區,7788,521,90,67,62,92,59,67,1752,405,594,16,161,29,83,134,37,44,http://www.cec.gov.tw/zh_TW/T4/n500001300000000.html
臺南市佳里區,18754,1335,214,95,248,246,226,81,5379,820,1795,31,633,81,87,615,74,108,http://www.cec.gov.tw/zh_TW/T4/n500001400000000.html
臺南市麻豆區,16689,837,144,76,192,229,139,43,3304,849,1334,11,512,62,93,355,56,106,http://www.cec.gov.tw/zh_TW/T4/n500001500000000.html
臺南市善化區,14091,1034,185,44,172,273,221,72,4253,746,1676,33,642,54,83,462,68,119,http://www.cec.gov.tw/zh_TW/T4/n500001600000000.html
臺南市大內區,3450,329,50,15,41,45,30,22,957,156,188,6,75,9,24,49,19,20,http://www.cec.gov.tw/zh_TW/T4/n500001700000000.html
臺南市玉井區,3428,724,56,14,68,98,48,30,1875,190,287,11,116,20,26,148,32,22,http://www.cec.gov.tw/zh_TW/T4/n500001800000000.html
臺南市楠西區,2060,941,65,13,20,55,31,37,1166,100,146,7,61,14,13,74,19,16,http://www.cec.gov.tw/zh_TW/T4/n500001900000000.html
臺南市西港區,8720,527,93,41,52,100,79,47,1989,450,739,7,199,39,49,170,33,48,http://www.cec.gov.tw/zh_TW/T4/n500002000000000.html
臺南市安定區,10028,743,117,38,72,173,88,30,2799,468,921,14,302,40,67,262,57,79,http://www.cec.gov.tw/zh_TW/T4/n500002100000000.html
臺南市新市區,11283,919,125,41,129,189,131,44,3297,570,1125,31,474,51,73,279,70,81,http://www.cec.gov.tw/zh_TW/T4/n500002200000000.html
臺南市山上區,2392,238,33,6,21,39,21,11,721,78,212,8,77,8,9,46,12,10,http://www.cec.gov.tw/zh_TW/T4/n500002300000000.html
臺南市新化區,12549,1497,174,52,112,254,244,75,4739,649,1336,28,512,59,77,475,98,115,http://www.cec.gov.tw/zh_TW/T4/n500002400000000.html
臺南市左鎮區,1511,254,34,10,12,32,22,6,498,77,83,6,37,13,4,59,12,5,http://www.cec.gov.tw/zh_TW/T4/n500002500000000.html
臺南市南化區,2116,690,65,8,22,61,26,34,1019,81,168,9,47,9,31,51,15,12,http://www.cec.gov.tw/zh_TW/T4/n500002600000000.html
臺南市安南區,58159,4866,625,191,558,1004,929,318,16523,2399,7089,102,2169,252,380,1631,351,484,http://www.cec.gov.tw/zh_TW/T4/n500002700000000.html
臺南市北區,34819,4188,339,73,533,738,1197,322,16060,1786,5233,72,2133,134,154,2403,218,381,http://www.cec.gov.tw/zh_TW/T4/n500002800000000.html
臺南市中西區,21477,2253,271,44,248,343,814,219,8814,1278,2918,36,1388,93,118,1220,106,187,http://www.cec.gov.tw/zh_TW/T4/n500002900000000.html
臺南市安平區,16361,2044,120,22,229,263,763,134,6874,720,2375,43,1002,50,78,1043,79,150,http://www.cec.gov.tw/zh_TW/T4/n500003000000000.html
臺南市南區,39420,3580,326,90,371,591,981,259,14087,1759,4708,52,1728,157,172,1970,232,301,http://www.cec.gov.tw/zh_TW/T4/n500003100000000.html
臺南市東區,44016,5503,338,90,866,946,2501,396,23915,2559,7135,71,3802,172,301,4189,229,654,http://www.cec.gov.tw/zh_TW/T4/n500003200000000.html
臺南市永康區,61812,7117,517,154,872,1175,1654,444,24545,3405,8099,120,3148,241,294,3350,463,630,http://www.cec.gov.tw/zh_TW/T4/n500003300000000.html
臺南市仁德區,22409,2023,241,69,279,323,459,162,8244,1019,2578,44,949,92,137,1068,176,203,http://www.cec.gov.tw/zh_TW/T4/n500003400000000.html
臺南市歸仁區,21372,1512,225,75,302,286,350,122,6357,952,2451,50,900,86,87,668,118,199,http://www.cec.gov.tw/zh_TW/T4/n500003500000000.html
臺南市關廟區,11472,899,151,54,128,188,168,51,3587,576,1027,20,392,59,60,285,77,85,http://www.cec.gov.tw/zh_TW/T4/n500003600000000.html
臺南市龍崎區,1405,139,26,6,26,21,16,11,510,66,84,2,29,4,7,45,13,7,http://www.cec.gov.tw/zh_TW/T4/n500003700000000.html
高雄市,762933,77961,5630,3653,13255,14598,26930,5580,334073,43107,92323,1851,37604,2927,6981,57715,4994,6958,http://www.cec.gov.tw/zh_TW/T4/n600000000000000.html
高雄市桃源區,241,139,9,5,24,50,140,2,772,63,49,1,20,11,17,37,17,4,http://www.cec.gov.tw/zh_TW/T4/n600000100000000.html
高雄市那瑪夏區,256,97,3,5,29,46,55,2,631,9,10,0,7,4,3,14,1,2,http://www.cec.gov.tw/zh_TW/T4/n600000200000000.html
高雄市甲仙區,1385,274,18,15,26,44,22,8,993,55,80,2,44,3,13,46,10,8,http://www.cec.gov.tw/zh_TW/T4/n600000300000000.html
高雄市六龜區,3364,409,39,27,49,100,47,24,1417,233,191,21,106,26,44,144,26,19,http://www.cec.gov.tw/zh_TW/T4/n600000400000000.html
高雄市杉林區,3022,347,28,10,59,89,49,20,1500,155,172,15,82,17,29,114,20,18,http://www.cec.gov.tw/zh_TW/T4/n600000500000000.html
高雄市內門區,4382,467,53,33,34,108,53,17,2149,253,285,13,81,27,63,136,42,54,http://www.cec.gov.tw/zh_TW/T4/n600000600000000.html
高雄市旗山區,10941,1203,147,73,222,239,166,71,4461,682,906,23,437,57,213,532,72,101,http://www.cec.gov.tw/zh_TW/T4/n600000700000000.html
高雄市美濃區,10806,1384,132,104,253,362,175,126,5835,555,756,40,486,84,154,746,100,87,http://www.cec.gov.tw/zh_TW/T4/n600000800000000.html
高雄市茂林區,100,56,7,2,10,22,41,1,595,8,9,0,6,1,1,12,1,1,http://www.cec.gov.tw/zh_TW/T4/n600000900000000.html
高雄市阿蓮區,9235,842,72,55,106,173,105,26,2966,438,891,33,258,41,57,274,66,80,http://www.cec.gov.tw/zh_TW/T4/n600001000000000.html
高雄市田寮區,2682,248,34,16,16,45,34,11,850,183,156,8,45,13,22,59,32,16,http://www.cec.gov.tw/zh_TW/T4/n600001100000000.html
高雄市燕巢區,9281,858,74,93,112,202,129,46,3808,577,844,27,305,32,211,293,84,60,http://www.cec.gov.tw/zh_TW/T4/n600001200000000.html
高雄市大社區,11202,979,81,68,179,151,209,60,3674,628,1193,18,416,58,82,408,78,90,http://www.cec.gov.tw/zh_TW/T4/n600001300000000.html
高雄市大樹區,13922,1043,102,83,195,235,275,73,5006,837,1254,30,401,50,112,468,105,89,http://www.cec.gov.tw/zh_TW/T4/n600001400000000.html
高雄市茄萣區,9148,1138,81,55,63,142,99,39,2838,478,1006,28,290,50,74,317,49,63,http://www.cec.gov.tw/zh_TW/T4/n600001500000000.html
高雄市湖內區,9122,877,95,44,64,156,160,32,3207,461,1017,24,308,34,44,361,60,90,http://www.cec.gov.tw/zh_TW/T4/n600001600000000.html
高雄市路竹區,14954,1554,152,122,177,312,259,107,6447,803,1757,48,564,72,98,450,129,144,http://www.cec.gov.tw/zh_TW/T4/n600001700000000.html
高雄市永安區,4114,467,39,23,53,87,63,39,1665,250,440,16,147,16,17,117,21,20,http://www.cec.gov.tw/zh_TW/T4/n600001800000000.html
高雄市岡山區,26792,3265,197,118,560,527,747,320,12619,1300,3130,53,1094,109,169,2252,154,226,http://www.cec.gov.tw/zh_TW/T4/n600001900000000.html
高雄市彌陀區,5811,744,77,51,56,110,166,57,2599,306,532,23,167,30,55,174,44,41,http://www.cec.gov.tw/zh_TW/T4/n600002000000000.html
高雄市梓官區,12267,968,174,73,164,208,289,38,3745,755,1106,29,353,28,67,373,64,85,http://www.cec.gov.tw/zh_TW/T4/n600002100000000.html
高雄市橋頭區,13306,989,85,52,164,169,236,70,3936,666,1418,29,445,60,85,471,69,108,http://www.cec.gov.tw/zh_TW/T4/n600002200000000.html
高雄市楠梓區,45558,4618,276,298,1193,879,2191,370,23119,2197,5884,160,2440,174,284,4102,286,431,http://www.cec.gov.tw/zh_TW/T4/n600002300000000.html
高雄市左營區,41544,5435,289,275,1309,850,3254,619,27031,2299,6054,123,2961,165,299,6043,228,481,http://www.cec.gov.tw/zh_TW/T4/n600002400000000.html
高雄市仁武區,25274,2195,185,129,404,398,664,121,8098,1184,2765,39,960,90,200,1164,171,208,http://www.cec.gov.tw/zh_TW/T4/n600002500000000.html
高雄市鳥松區,13007,1142,92,74,218,194,428,80,5218,726,1620,29,757,43,79,1036,108,138,http://www.cec.gov.tw/zh_TW/T4/n600002600000000.html
高雄市大寮區,33467,3029,321,163,398,532,674,177,12335,1859,3333,85,1070,144,211,1668,313,237,http://www.cec.gov.tw/zh_TW/T4/n600002700000000.html
高雄市林園區,21034,1702,226,128,223,330,318,84,6487,1517,2053,56,599,88,157,615,173,184,http://www.cec.gov.tw/zh_TW/T4/n600002800000000.html
高雄市鼓山區,33539,3688,198,135,766,599,1835,491,17306,1897,4712,75,2166,92,361,4085,189,333,http://www.cec.gov.tw/zh_TW/T4/n600002900000000.html
高雄市鹽埕區,7751,689,43,19,70,133,200,42,3099,476,951,15,367,26,132,607,51,76,http://www.cec.gov.tw/zh_TW/T4/n600003000000000.html
高雄市旗津區,9066,774,56,31,78,142,176,54,2501,477,819,32,254,32,112,365,77,50,http://www.cec.gov.tw/zh_TW/T4/n600003100000000.html
